"chapterID","titleID","xmlChapterID","chapterHead","startPageNo"
1,1,"1","Capitulum Primum",1
2,1,"2","Capitulum Secundum",19
3,1,"3","Capitulum Tercium",41
4,1,"4","Capitulum Quartum",52
5,1,"5","Capitulum Quintum",65
6,1,"6","Capitulum Sextum",80
7,1,"7","Capitulum Septimum",95
8,1,"8","Capitulum Octavum",111
9,1,"9","Capitulum Nonum",128
10,1,"10","Capitulum Decimum",143
11,1,"11","Capitulum Unidecimum",157
12,1,"12","Capitulum Duodecimum",172
13,1,"13","Capitulum Tredecimum",188
14,1,"14","Capitulum Quartumdecimum",203
15,1,"15","Capitulum Quintumdecimum",219
16,1,"16","Capitulum Sextumdecimum",239
17,1,"17","Capitulum Setimumdecimum",255
18,1,"18","Capitulum Octavumdecimum",272
159,4,"1","CAPITULUM PRIMUM",1
160,4,"2","CAPITULUM 2m",3
161,4,"3","CAPITULUM 3m",5
162,4,"4","CAPITULUM 4m",7
163,4,"5","CAPITULUM 5m",9
164,4,"6","CAPITULUM 6m",11
165,4,"7","CAPITULUM 7m",13
166,4,"8","CAPITULUM 8m",15
167,4,"9","CAPITULUM 9m",17
168,4,"10","CAPITULUM 10m",19
169,4,"11","CAPITULUM 11m",21
170,4,"12","CAPITULUM 12m",23
172,4,"13","CAPITULUM 13m",25
173,4,"14","CAPITULUM 14m",26
174,4,"15","CAPITULUM 15m",29
175,4,"16","CAPITULUM 16m",31
176,4,"17","CAPITULUM 17m",33
177,4,"18","CAPITULUM 18m",34
178,4,"19","CAPITULUM 19m",37
179,4,"20","CAPITULUM 20m",39
180,4,"21","CAPITULUM 21m",41
181,4,"22","CAPITULUM 22m",43
182,4,"23","CAPITULUM 23m",45
183,4,"24","CAPITULUM 24m",48
184,4,"25","CAPITULUM 25m",51
185,4,"26","CAPITULUM 26m",53
186,4,"27","CAPITULUM 27m",56
187,4,"28","CAPITULUM 28m",58
188,4,"29","CAPITULUM 29m",60
189,4,"30","CAPITULUM 30m",63
190,4,"31","CAPITULUM 31o",69
191,4,"32","CAPITULUM 32o",73
192,4,"33","CAPITULUM 33m",78
193,4,"34","CAPITULUM 34m",80
194,4,"35","CAPITULUM 35m",82
195,4,"36","CAPITULUM 36m",84
196,4,"Epilogus","EPILOGUS",86
204,5,"1","Cap. I.",1
205,5,"2","Cap. II.",19
206,5,"3","Cap. III.",37
207,5,"4","Cap. IV.",53
208,5,"5","Cap. V.",75
209,5,"6","Cap. VI.",101
210,5,"7","Cap. VII.",120
262,7,"1","CAPITULUM PRIMUM.",1
263,7,"2","CAPITULUM SECUNDUM.",8
264,7,"3","CAPITULUM TERTIUM.",16
265,7,"4","CAPITULUM QUARTUM.",26
266,7,"5","CAPITULUM QUINTUM.",36
267,7,"6","CAPITULUM SEXTUM.",47
268,7,"7","CAPITULUM SEPTIMUM.",58
269,7,"8","CAPITULUM OCTAVUM.",69
270,7,"9","CAPITULUM NONUM.",83
271,7,"10","CAPITULUM DECIMUM.",97
272,7,"11","CAPITULUM UNDECIMUM.",114
273,7,"12","CAPITULUM DUODECIMUM.",127
274,7,"13","CAPITULUM DECIMUM TERCIUM.",145
275,7,"14","CAPITULUM DECIMUM QUARTUM.",166
276,7,"15","CAPITULUM DECIMUMQUINTUM.",188
277,7,"16","CAPITULUM DECIMUM SEXTUM.",209
278,7,"17","CAPITULUM DECIMUM SEPTIMUM.",233
279,7,"18","CAPITULUM DECIMUM OCTAVUM.",258
280,7,"19","INCIPIUNT CAPITULA LIBRI 4TI.",275
333,9,"1","Cap. I.",1
334,9,"2","Cap. II.",13
335,9,"3","Cap. III.",28
336,9,"4","Cap. IV.",49
337,9,"5","Cap. V.",74
338,9,"6","Cap. VI.",85
339,9,"7","Cap. VII.",105
340,9,"8","Cap. VIII.",123
341,9,"9","Cap. IX.",142
342,9,"10","Cap. X.",160
343,9,"11","Cap. XI.",185
344,9,"12","Cap. XII.",201
345,9,"13","Cap. XIII.",216
406,10,"1, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP 1",1
407,10,"2, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. II",8
408,10,"3, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. III",15
409,10,"4, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. IV",23
410,10,"5, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. V",30
411,10,"6, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. VI",38
412,10,"7, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. VII",43
413,10,"8, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. VIII",50
414,10,"9, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. IX",55
415,10,"10, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. X",65
416,10,"11, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XI",76
417,10,"12, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XII",90
418,10,"13, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XIII",102
419,10,"14, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XIV",115
420,10,"15, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XV",125
421,10,"16, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XVI",136
422,10,"17, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XVII",148
423,10,"18, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XVIII",158
424,10,"19, lib. I","LIBER PRIMUS DE DOMINIO DIVINO. CAP. XIX",172
425,10,"1, lib. II","TRACTUS SECUNDUS DE DOMINIO DIVINO. CAP. I",173
426,10,"2, lib. II","TRACTUS SECUNDUS DE DOMINIO DIVINO. CAP. II",179
427,10,"3, lib. II","TRACTUS SECUNDUS DE DOMINIO DIVINO. CAP. III",185
428,10,"4, lib. II","TRACTUS SECUNDUS DE DOMINIO DIVINO. CAP. IV",189
429,10,"5, lib. II","TRACTUS SECUNDUS DE DOMINIO DIVINO. CAP. V",194
430,10,"1, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO. CAP. I",199
431,10,"2, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO. CAP. II",207
432,10,"3, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO.  CAP. III",216
433,10,"4, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO. CAP. IV",224
434,10,"5, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO. CAP. V",235
435,10,"6, lib. III","TRACTUS TERCIUS DE DOMINIO DIVINO. CAP. VI",249
